brand,offer,details,timestamp
"Clorox®","SAVE $1.00","off any two Clorox® Clean-up® products, Disinfecting Wipes 34ct.+, Liquid Bleach 55oz.+, OR any Manual Toilet Bowl Cleaner",2017-04-26 14:13:59
"Kellogg's® Cereals","SAVE $3.00","On any FIVE Kellogg's® Cereals",2017-04-26 14:13:59
"all®","SAVE $1.50","on any one (1) all® liquid detergent (94.5oz or larger)",2017-04-26 14:13:59
"Colgate®","SAVE $1.50","TWIN PACKS ONLY on any Colgate Total®, Colgate® Optic White®, Colgate® Enamel Health™ or Colgate® Sensitive Toothpaste",2017-04-26 14:13:59
"Ken’s® Steak House Dressings","75¢ OFF","ONE (1) Bottle of Ken’s® Steak House Dressings, 16oz or larger",2017-04-26 14:13:59
"UNCLE BEN’S®","SAVE $1.00","on any TWO (2) UNCLE BEN’S® Flavored Grains Rice Products",2017-04-26 14:13:59
"Colgate®","SAVE $1.50","On any Colgate® Mouthwash or Mouth Rinse (400 mL or larger)",2017-04-26 14:13:59
"Scotch-Brite®","SAVE $1.00","on TWO (2) Scotch-Brite® Scrub Sponge or Scrubbing Dish Cloth multi-packs.",2017-04-26 14:14:00
"HUGGIES®","GET $2.00 OFF","any ONE (1) package of HUGGIES® Diapers (Not valid on 9 ct. or less)",2017-04-26 14:14:00
"BOUNTY®","$1.00 OFF","ONE Bounty® Basic Paper Towels 6 ct or larger (excludes trial/travel size)",2017-04-26 14:14:00
"BOUNTY®","$1.00 OFF","ONE Bounty® Paper Towels 6 ct or larger (excludes Basic and trial/travel size)",2017-04-26 14:14:00
"Pine-Sol®","SAVE $0.75","when you buy any one (1) Pine-Sol® multi-purpose cleaner, 40 oz or larger",2017-04-26 14:14:00
"CHARMIN®","$1.00 OFF","ONE Charmin® Ultra Soft or Strong 6 Mega Roll, 9 Big Roll, 12 Double Roll or larger (excludes Essentials and trial/travel size)",2017-04-26 14:14:00
"VELVEETA","SAVE 50¢","on any ONE (1) VELVEETA Loaf or Mini Blocks",2017-04-26 14:14:01
"Coppertone®","SAVE $1.00","on any ONE (1) Coppertone® Product (excludes travel size, lip balm, and stick)",2017-04-26 14:14:01
"Suave","$1.00 OFF","any ONE (1) Suave® Professionals Gold product (includes Suave Professionals® Styling products)",2017-04-26 14:14:01
"ARM & HAMMER™","SAVE $1.00","on ONE (1) ARM & HAMMER™ Liquid Laundry Detergent",2017-04-26 14:14:01
"Palmolive®","SAVE $0.25","On any Palmolive® Ultra Dish Liquid",2017-04-26 14:14:01
"Coppertone®","SAVE $3.00","on any TWO (2) Coppertone® products (5 oz. or larger)",2017-04-26 14:14:01
"Suave","$1.00 OFF","any ONE (1) Suave® Professionals Silver or Green 28oz (includes Suave Professionals® Styling products)",2017-04-26 14:14:01
"Revlon®","BUY 1, GET 1 FREE","Buy ONE (1) Revlon® Colorsilk Hair Color, Get ONE (1) Revlon® ColorSilk Shampoo or Conditioner Free (of equal or lesser value)",2017-04-26 14:14:01
"Old El Paso","SAVE $1.00 ON TWO","when you buy TWO Old El Paso™ products (excludes Old El Paso™ seasoning, refrigerated, and produce products)",2017-04-26 14:14:01
"Hellmann's or Best Foods","$0.75 OFF","Any ONE (1) Hellmann’s or Best Foods Vegan Sandwich Spread or Organic Mayonnaise (Available in Original and 3 flavors)",2017-04-26 14:14:01
"General Mills Fruit Snacks","SAVE 50¢ ON TWO","when you buy TWO BOXES any flavor/variety Betty Crocker™ Fruit Shapes, Fruit by the Foot™, Fruit Gushers™...",2017-04-26 14:14:02
"HUGGIES®","GET $0.50 OFF","any ONE (1) package of HUGGIES® Wipes (56 ct. or higher)",2017-04-26 14:14:02
"KLEENEX®","SAVE $0.75","on any THREE (3) boxes/packs or ONE (1) BUNDLE PACK® of KLEENEX® Facial Tissue (50ct or larger)",2017-04-26 14:14:02
"CHARMIN®","$1.00 OFF","ONE Charmin® Essentials Soft OR Essentials Strong 12 ct or larger (excludes trial/travel size)",2017-04-26 14:14:02
"Garnier® Nutrisse®","$4.00 OFF","on any TWO (2) Garnier® Nutrisse® Hair Color Products",2017-04-26 14:14:02
"LUVS®","$2.00 OFF","ONE Luvs® Diapers (excludes trial/travel size)",2017-04-26 14:14:02
"Soy Vay®","SAVE $0.75","on any one (1) Soy Vay® Marinade",2017-04-26 14:14:02
"HUGGIES®","GET $1.50 OFF","any ONE (1) package of HUGGIES® Wipes (336 ct. or higher)",2017-04-26 14:14:03
"Glade®","BUY 3 GET 1 FREE","Buy THREE (3) Glade® Room Sprays or Solid Air Fresheners, get ONE (1) FREE (Max Value: $1.00)",2017-04-26 14:14:03
"Yoplait","SAVE 75¢ ON TWO","when you buy TWO any flavor Yoplait® Go-GURT® Yogurt",2017-04-26 14:14:03
"Schick® Quattro for Women® Refill","SAVE $3.00","on any ONE (1) Schick® Quattro for Women® Refill (excludes Schick® Men's Refill)",2017-04-26 14:14:03
"Scrubbing Bubbles®","SAVE 50¢","on any ONE (1) Scrubbing Bubbles® Bathroom cleaning product",2017-04-26 14:14:03
"True Lemon","70¢ OFF","On any 1 True Lemon/True Lime Lemonade or Unsweetened product not including 5 or 12 cts",2017-04-26 14:14:03
"Yoplait","SAVE 50¢ ON ONE","when you buy ONE CUP any variety Yoplait® Dippers",2017-04-26 14:14:04
"TUMS®","SAVE $1.50","on any ONE (1) TUMS® Chewy Bites Product, 32 ct or larger",2017-04-26 14:14:04
"Windex®","SAVE 50¢","on any ONE (1) Windex® product (excludes travel and trial sizes)",2017-04-26 14:14:04
"PAMPERS®","$1.50 OFF","ONE Pampers® Swaddlers Diapers (excludes trial/travel size)",2017-04-26 14:14:04
"Windex®","SAVE 75¢","on any ONE (1) Windex® Multi-Surface Product (excludes travel and trial sizes)",2017-04-26 14:14:04
"Glade®","SAVE $2.00","on any THREE (3) Glade® products (excludes Glade® Solid Air Freshener and 8 oz. Room Spray)",2017-04-26 14:14:04
"Windex®","SAVE 75¢","on any ONE (1) Windex® Original Glass and Surface Wipes (excludes travel and trial sizes)",2017-04-26 14:14:04
"PAMPERS®","$1.50 OFF","ONE Pampers® Baby Dry Diapers (excludes trial/travel size)",2017-04-26 14:14:05
"Yoplait","SAVE 25¢ ON ONE","when you buy ONE CUP any variety Yoplait® Custard Yogurt",2017-04-26 14:14:05
"VENUS®","$3.00 OFF","ONE Venus® Original OR Embrace® Disposable Razor Pack 2ct or larger",2017-04-26 14:14:05
"CREST®","50¢ OFF","ONE Crest® Complete Toothpaste 4oz or larger (excludes Cavity Protection, Tartar Protection, Baking Soda and trial/travel size)",2017-04-26 14:14:05
"PUFFS®","50¢ OFF","ONE Puffs® Facial Tissue product 72 sheets or larger OR Multipacks (excludes Puffs® To Go Packs and trial/travel size)",2017-04-26 14:14:05
"OFF!®","SAVE 75¢","on any ONE (1) OFF!® Product (excludes travel and trial sizes)",2017-04-26 14:14:05
"M&Ms® Bottles","SAVE $0.50","on ONE (1) M&Ms® Bottle",2017-04-26 14:14:05
"VENUS®","$3.00 OFF","ONE Simply Venus® Disposable Razor Pack 4ct or larger",2017-04-26 14:14:05
"Scrubbing Bubbles®","SAVE 50¢","on any ONE (1) Scrubbing Bubbles® All Purpose Cleaner with fantastik® product",2017-04-26 14:14:06
"Amopé® Pedi Perfect®","$10.00 OFF","on any ONE (1) Amopé® Pedi Perfect® Electronic Foot File",2017-04-26 14:14:06
"KOTEX®","SAVE $1.00","on any ONE (1) package of U by KOTEX® Ultra Thin Pads (not valid on trial size/travel packs)",2017-04-26 14:14:06
"BOUNCE®","50¢ OFF","ONE Bounce® Product (excludes Bounce® sheets 25, 34 and 40 ct and trial/travel size)",2017-04-26 14:14:06
"PULL-UPS®","GET $2.00 OFF","any ONE (1) PULL-UPS® Training Pants or GOODNITES® Bedtime Pants or Bed Mats (Not valid on 7 ct. or less)",2017-04-26 14:14:06
"CREST®","50¢ OFF","ONE Scope® Mouthwash 237ml or larger (excludes trial/travel size)",2017-04-26 14:14:06
