url,cashback
landsend.com,4.0%
underarmour.com,6.0%
macys.com,6.0%
nike.com,12.0%
onehanesplace.com,6.0%
neimanmarcus.com,6.0%
misfit.com,15.0%
finishline.com,7.0%
barneysnewyork.com,6.0%
lululemon.com,2.0%
athleta.com,6.0%
kohls.com,6.0%
newbalance.com,10.0%
giltgroupe.com,8.0%
lanebryant.com,5.0%
puma.com,9.0%
avenue.com,7.0%
groupon.htm,9.0%
americaneagle.com,4.0%
jcpenney.com,10.0%
lordandtaylor.com,8.0%
magazines.com,40.0%
eastbay.com,7.0%
championusa.com,6.0%
jcrewfactory.com,1.5%
walmart.com,1.0%
minted.com,3.0%
livingsocial.htm,3.0%
macys.com,6.0%
walgreens.com,7.0%
bareminerals.com,5.0%
teavana.com,3.0%
uniformcity.com,7.0%
footlocker.com,5.0%
ashleystewart.com,2.5%
tidyliving.com,4.0%
colehaan.com,2.5%
ashleyfurniture.com,3.5%
homedecoratorscollection.com,3.5%
saksfifthavenue.com,4.0%
groupon.htm,9.0%
ebay,5.0%
kohls.com,6.0%
bloomingdales.com,3.0%
jcpenney.com,10.0%
toms.com,4.0%
expedia.com,10.0%
jcrew.com,1.5%
thechildrensplace.com,1.5%
ultabeauty.com,3.0%
nike.com,12.0%
dickssportinggoods.com,1.5%
forever21.com,2.0%
overstock.com,4.0%
stubhub.com,3.5%
newbalance.com,10.0%
ebags.com,6.0%
bedbathandbeyond.com,2.0%
toryburch.com,4.0%
carters.com,2.5%
katespade.com,3.5%
lanebryant.com,5.0%
magazines.com,40.0%
verabradley.com,3.0%
lowes.com,3.0%
officedepot.com,4.0%
finishline.com,7.0%
famousfootwear.com,2.0%
anntaylor.com,2.0%
newyorkcompany.com,2.5%
hsn.com,2.0%
michaelkors.com,3.0%
costplusworldmarket.com,4.0%
eastbay.com,7.0%
sears.com,1.5%
restaurant.com,10.0%
champssports.com,5.0%
disneystore.com,3.0%
barneysnewyork.com,6.0%
lordandtaylor.com,8.0%
saksfifthavenueoff5th.com,6.0%
aerieforamericaneagle.com,4.0%
gnc.com,10.0%
skinstore.com,4.0%
bananarepublic.com,2.0%
clinique.com,4.0%
dellsmallbusiness.com,10.0%
diesel.com,3.0%
samsung.com,2.0%
lagarconne.com,3.0%
hannaandersson.com,2.0%
loccitane.com,3.0%
pier1imports.com,8.0%
gap.com,2.0%
loft.com,2.0%
landsend.com,4.0%
haggar.com,5.0%
sephora.com,3.0%
bananarepublic.com,2.0%
justice.com,2.0%
gymboree.com,1.0%
oshkoshbgosh.com,2.5%
petco.com,4.0%
thehonestcompany.com,2.5%
origins.com,1.5%
kiehls.com,4.0%
starbucksstore.com,2.5%
toysrus.com,1.0%
philosophy.com,2.5%
americaneagle.com,4.0%
hotels.com,3.0%
priceline.com,10.0%
avenue.com,7.0%
joesjeans.com,9.5%
giltgroupe.com,8.0%
sachinandbabi.com,8.0%
petit-bateau.com,7.0%
shiseido.com,6.5%
agjeans.com,6.0%
aliceolivia.com,6.0%
barneysnewyork.com,6.0%
cledepeaubeaute.com,6.0%
coach.com,6.0%
forzieri.com,6.0%
johnhardy.com,6.0%
