url,cashback,date_time
neimanmarcus.com,6.0%,2017-04-24 13:43:51
kohls.com,6.0%,2017-04-24 13:43:51
misfit.com,15.0%,2017-04-24 13:43:51
finishline.com,7.0%,2017-04-24 13:43:51
lanebryant.com,5.0%,2017-04-24 13:43:51
eastbay.com,7.0%,2017-04-24 13:43:51
groupon.htm,9.0%,2017-04-24 13:43:51
athleta.com,6.0%,2017-04-24 13:43:51
lordandtaylor.com,8.0%,2017-04-24 13:43:51
newbalance.com,10.0%,2017-04-24 13:43:51
macys.com,6.0%,2017-04-24 13:43:51
barneysnewyork.com,6.0%,2017-04-24 13:43:51
puma.com,9.0%,2017-04-24 13:43:51
americaneagle.com,4.0%,2017-04-24 13:43:51
landsend.com,4.0%,2017-04-24 13:43:51
underarmour.com,6.0%,2017-04-24 13:43:51
championusa.com,6.0%,2017-04-24 13:43:51
onehanesplace.com,6.0%,2017-04-24 13:43:51
jcpenney.com,10.0%,2017-04-24 13:43:51
lululemon.com,2.0%,2017-04-24 13:43:51
avenue.com,7.0%,2017-04-24 13:43:51
giltgroupe.com,8.0%,2017-04-24 13:43:51
magazines.com,40.0%,2017-04-24 13:43:51
nike.com,12.0%,2017-04-24 13:43:51
perfumania.com,7.0%,2017-04-24 13:43:57
ralphlauren.com,2.5%,2017-04-24 13:43:57
officedepot.com,4.0%,2017-04-24 13:43:57
bestbuy.com,1.0%,2017-04-24 13:43:57
samsung.com,2.0%,2017-04-24 13:43:57
shoebuy.com,6.0%,2017-04-24 13:43:57
adameve.com,7.0%,2017-04-24 13:43:57
icing.com,3.5%,2017-04-24 13:43:57
hphome.com,8.0%,2017-04-24 13:43:57
omahasteaks.com,3.5%,2017-04-24 13:43:57
walmart.com,1.0%,2017-04-24 13:43:57
llbean.com,2.0%,2017-04-24 13:43:57
stevemadden.com,3.0%,2017-04-24 13:43:57
saksfifthavenue.com,4.0%,2017-04-24 13:43:57
bloomingdales.com,3.0%,2017-04-24 13:43:57
thechildrensplace.com,1.5%,2017-04-24 13:43:57
nike.com,12.0%,2017-04-24 13:43:57
dickssportinggoods.com,1.5%,2017-04-24 13:43:57
forever21.com,2.0%,2017-04-24 13:43:57
overstock.com,4.0%,2017-04-24 13:43:57
stubhub.com,3.5%,2017-04-24 13:43:57
newbalance.com,10.0%,2017-04-24 13:43:57
bedbathandbeyond.com,2.0%,2017-04-24 13:43:57
toryburch.com,4.0%,2017-04-24 13:43:57
carters.com,2.5%,2017-04-24 13:43:57
katespade.com,3.5%,2017-04-24 13:43:57
lowes.com,2.0%,2017-04-24 13:43:57
finishline.com,7.0%,2017-04-24 13:43:57
famousfootwear.com,2.0%,2017-04-24 13:43:57
anntaylor.com,2.0%,2017-04-24 13:43:57
michaelkors.com,3.0%,2017-04-24 13:43:57
champssports.com,5.0%,2017-04-24 13:43:57
lordandtaylor.com,8.0%,2017-04-24 13:43:57
saksfifthavenueoff5th.com,4.0%,2017-04-24 13:43:57
aerieforamericaneagle.com,4.0%,2017-04-24 13:43:57
dellsmallbusiness.com,10.0%,2017-04-24 13:43:57
diesel.com,3.0%,2017-04-24 13:43:57
clinique.com,4.0%,2017-04-24 13:43:57
lagarconne.com,3.0%,2017-04-24 13:43:57
loccitane.com,5.0%,2017-04-24 13:43:57
expedia.com,10.0%,2017-04-24 13:43:57
sephora.com,4.0%,2017-04-24 13:43:57
gymboree.com,1.0%,2017-04-24 13:43:57
thehonestcompany.com,2.5%,2017-04-24 13:43:57
kiehls.com,4.0%,2017-04-24 13:43:57
starbucksstore.com,2.5%,2017-04-24 13:43:57
eastbay.com,7.0%,2017-04-24 13:43:57
priceline.com,10.0%,2017-04-24 13:43:57
walgreens.com,7.0%,2017-04-24 13:43:57
