brand,cashback,offer,details,url,date_time
"macys","6.0%","+ 6.0% Cash Back","Shop athleisure.","macys.com",2017-04-29 00:40:38
"eastbay","2.5%","+ 2.5% Cash Back","15% off $75 sitewide + free shipping.","eastbay.com",2017-04-29 00:40:38
"finishline","3.0%","+ 3.0% Cash Back","$15 off any $150+ order.","finishline.com",2017-04-29 00:40:38
"macys","6.0%","+ 6.0% Cash Back","Friends & Family - 30% off sitewide & 10% off beauty items.","macys.com",2017-04-29 00:40:38
"newbalance","5.0%","+ 5.0% Cash Back","15% off $125 at NewBalance.com!","newbalance.com",2017-04-29 00:40:38
"michaelkors","3.0%","+ 3.0% Cash Back","Stay Connected in style with the Michael Kors ACCESS Smartwatch.","michaelkors.com",2017-04-29 00:40:38
"nike","4.0%","+ Up to 4.0% Cash Back","Save 25% on the Nike Metcon 2 women's training shoe at Nike.com. No code required. Quantities limited.","nike.com",2017-04-29 00:40:38
"lululemon","1.0%","+ 1.0% Cash Back","Shop Yoga clothes & Running Apparel for Women.","lululemon.com",2017-04-29 00:40:38
"underarmour","6.0%","+ 6.0% Cash Back","Shop UA Women's Latest & Greatest + Free shipping Over $49.","underarmour.com",2017-04-29 00:40:38
"puma","4.5%","+ 4.5% Cash Back","Up to 50% off sale.","puma.com",2017-04-29 00:40:38
"athleta","6.0%","+ 6.0% Cash Back","Free Shipping on orders over $50 + Free returns.","athleta.com",2017-04-29 00:40:38
"llbean","2.0%","+ 2.0% Cash Back","Free shipping on any order to the US and Canada.","llbean.com",2017-04-29 00:40:44
"perfumania","7.0%","+ 7.0% Cash Back","30% off.","perfumania.com",2017-04-29 00:40:44
"ralphlauren","2.5%","+ 2.5% Cash Back","Now Extended! Private Sale - Up to 40% off + extra 15% off.","ralphlauren.com",2017-04-29 00:40:44
"officedepot","4.0%","+ 4.0% Cash Back","Free HP paper ream with $75 of HP ink.","officedepot.com",2017-04-29 00:40:44
"bestbuy","1.0%","+ 1.0% Cash Back","Order the LG G6 and get a Google Home with qualified activation.","bestbuy.com",2017-04-29 00:40:44
"samsung","2.0%","+ 2.0% Cash Back","Free Swarovski watchstrap with your order of any Gear S2.","samsung.com",2017-04-29 00:40:44
"shoebuy","6.0%","+ 6.0% Cash Back","25% off + free shipping.","shoebuy.com",2017-04-29 00:40:44
"adameve","7.0%","+ 7.0% Cash Back","Spring Exclusive - 35% off + free shipping.","adameve.com",2017-04-29 00:40:44
"icing","3.5%","+ 3.5% Cash Back","Extra 20% off jewelry must haves.","icing.com",2017-04-29 00:40:44
"hphome","8.0%","+ 8.0% Cash Back","20% off select HP Carepacks.","hphome.com",2017-04-29 00:40:44
"omahasteaks","3.5%","+ 3.5% Cash Back","4 free steaks + free shipping.","omahasteaks.com",2017-04-29 00:40:44
"walmart","1.0%","+ 1.0% Cash Back","Shop Mother's Day gifts for less.","walmart.com",2017-04-29 00:40:44
"stevemadden","3.0%","+ 3.0% Cash Back","Exclusive - 15% off + free shipping.","stevemadden.com",2017-04-29 00:40:44
"ebay","5.0%","+ Up to 5.0% Cash Back","20% off Select Purchases of $25+","ebay",2017-04-29 00:40:44
"macys","6.0%","+ 6.0% Cash Back","Friends & Family - 30% off sitewide & 10% off beauty items.","macys.com",2017-04-29 00:40:44
"kohls","3.0%","+ 3.0% Cash Back","Shop the Lowest Prices of the Season Sale.","kohls.com",2017-04-29 00:40:44
"groupon","6.0%","+ 6.0% Cash Back","20% off local, 10% off getaways & 10% off goods.","groupon.htm",2017-04-29 00:40:44
"jcpenney","15.0%","+ 15.0% Cash Back","Extra 30% off.","jcpenney.com",2017-04-29 00:40:44
"jcrew","1.5%","+ 1.5% Cash Back","30% off your order + 40% off Sale.","jcrew.com",2017-04-29 00:40:44
"sephora","4.0%","+ 4.0% Cash Back","Choose 1 of 3 luxe minis with $35 order.","sephora.com",2017-04-29 00:40:44
"thechildrensplace","1.5%","+ 1.5% Cash Back","Up to 60% off sitewide + free shipping.","thechildrensplace.com",2017-04-29 00:40:44
"carters","2.5%","+ 2.5% Cash Back","Biggest Baby Sale of the Year: Up to 70% off + free shipping at $50.","carters.com",2017-04-29 00:40:44
"michaelkors","3.0%","+ 3.0% Cash Back","New items Added to Sale Section at Michael Kors! Receive up to 50% off!","michaelkors.com",2017-04-29 00:40:44
"eastbay","2.5%","+ 2.5% Cash Back","Up to $50 off Nike and Jordan Plus Free shipping Every Day.","eastbay.com",2017-04-29 00:40:44
"priceline","10.0%","+ Up to 10.0% Cash Back","Up to 20% off select Hotels.","priceline.com",2017-04-29 00:40:44
"torrid","4.0%","+ 4.0% Cash Back","Buy 1 Get 1 50% Off Fashion for Sizes 10-30","torrid.com",2017-04-29 00:40:44
"ultabeauty","3.0%","+ 3.0% Cash Back","$3.50 off any qualifying order of $15+.","ultabeauty.com",2017-04-29 00:40:44
"snapfish","12.5%","+ 12.5% Cash Back","55% off Photo Books and Cards.","snapfish.com",2017-04-29 00:40:44
"crateandbarrel","2.0%","+ 2.0% Cash Back","Up to 30% off Outdoor Furniture.","crateandbarrel.com",2017-04-29 00:40:44
"hotels","6.0%","+ Up to 6.0% Cash Back","Up to 40% off + extra 10% off select hotels.","hotels.com",2017-04-29 00:40:44
"itcosmetics","7.0%","+ 7.0% Cash Back","Friends & Family Event - 25% off any order + free shipping.","itcosmetics.com",2017-04-29 00:40:44
"livingsocial","6.0%","+ 6.0% Cash Back","Extra 15% off select deals.","livingsocial.htm",2017-04-29 00:40:44
"gymboree","1.0%","+ 1.0% Cash Back","$25 off $50+.","gymboree.com",2017-04-29 00:40:44
"weddingpaperdivas","4.0%","+ 4.0% Cash Back","25% off + free upgrade to expedited shipping.","weddingpaperdivas.com",2017-04-29 00:40:44
"travelocity","7.0%","+ Up to 7.0% Cash Back","14% off $300 on participating Travelocity hotels.","travelocity.com",2017-04-29 00:40:44
"keurig","4.0%","+ Up to 4.0% Cash Back","20% off Nearly All Pods and Free shipping.","keurig.com",2017-04-29 00:40:44
"philosophy","6.0%","+ 6.0% Cash Back","Ebates Exclusive! $20 off $60 or More.","philosophy.com",2017-04-29 00:40:44
"ebags","6.0%","+ 6.0% Cash Back","Up to 25% of Your order and Free shipping Over $49.","ebags.com",2017-04-29 00:40:44
"ninewest","3.5%","+ 3.5% Cash Back","Up to 50% Off New Markdowns + 20% Off Sitewide","ninewest.com",2017-04-29 00:40:44
"eddiebauer","2.0%","+ 2.0% Cash Back","Friends and Family Event! 40% off any order (including Clearance).","eddiebauer.com",2017-04-29 00:40:44
"anntaylor","2.0%","+ 2.0% Cash Back","Extra 40% Off Sale Styles. Offer valid 4/18/2017 @ 3AM - 5/7/2017 @ 5PM.","anntaylor.com",2017-04-29 00:40:44
"overstock","2.0%","+ 2.0% Cash Back","Exclusive! New Customer Offer – 15% off select departments.","overstock.com",2017-04-29 00:40:44
"toryburch","4.0%","+ 4.0% Cash Back","Up to 40% off sale styles + free shipping.","toryburch.com",2017-04-29 00:40:44
"jjill","2.0%","+ 2.0% Cash Back","Enjoy $50 off $150+ order","jjill.com",2017-04-29 00:40:44
"mixbook","10.0%","+ 10.0% Cash Back","50% off Premium Wedding Cards + 40% off sitewide.","mixbook.com",2017-04-29 00:40:44
"intercontinentalhotelsandresorts","4.5%","+ 4.5% Cash Back","The Sunshine Sale: 15-30% off at Select Hotels.","intercontinentalhotelsandresorts.com",2017-04-29 00:40:44
"saksfifthavenueoff5th","4.0%","+ 4.0% Cash Back","LIMITED TIME, ONLINE ONLY TAKE AN EXTRA 20% OFF. SHOP NOW!","saksfifthavenueoff5th.com",2017-04-29 00:40:44
"loft","2.0%","+ 2.0% Cash Back","40% off everything.","loft.com",2017-04-29 00:40:44
"verabradley","3.0%","+ 3.0% Cash Back","25% off select colors & patterns + free shipping.","verabradley.com",2017-04-29 00:40:44
"newyorkcompany","5.0%","+ 5.0% Cash Back","Dress Boutique: Hundreds of new spring dresses on sale.","newyorkcompany.com",2017-04-29 00:40:44
"bananarepublic","2.0%","+ 2.0% Cash Back","Extra 40% off Sale at BananaRepublic.com. Restrictions apply.","bananarepublic.com",2017-04-29 00:40:44
"shutterfly","4.0%","+ 4.0% Cash Back","Up to 50% off select items.","shutterfly.com",2017-04-29 00:40:44
"forever21","2.0%","+ 2.0% Cash Back","Free shipping on $21+ orders.","forever21.com",2017-04-29 00:40:44
"bloomingdales","3.0%","+ 3.0% Cash Back","Free gifts with beauty order.","bloomingdales.com",2017-04-29 00:40:44
"lowes","2.0%","+ 2.0% Cash Back","10-30% off select Appliance Special Values $396+ order.","lowes.com",2017-04-29 00:40:44
"landsend","2.0%","+ 2.0% Cash Back","Exclusive Offer! Additional 20% off Select Men's Markdown Fleece Styles","landsend.com",2017-04-29 00:40:44
"finishline","3.0%","+ 3.0% Cash Back","Up to 50% off select apparel + up to 40% off new markdowns.","finishline.com",2017-04-29 00:40:44
"coach","6.0%","+ 6.0% Cash Back","Up to 50% off select styles + free shipping.","coach.com",2017-04-29 00:40:44
"americaneagle","2.0%","+ 2.0% Cash Back","Limited Time Only! Take 40% off Men's & Women's Tops at AE.com! Prices as marked.","americaneagle.com",2017-04-29 00:40:44
"thebodyshop","4.0%","+ 4.0% Cash Back","40% off + free shipping.","thebodyshop.com",2017-04-29 00:40:44
"canon","6.0%","+ 6.0% Cash Back","Canon Friends and Family Sales Event! Up to 50% off select refurbished products!","canon.com",2017-04-29 00:40:44
"juicycouture","2.5%","+ 2.5% Cash Back","25% off Sale at Juicy Couture!","juicycouture.com",2017-04-29 00:40:44
"underarmour","6.0%","+ 6.0% Cash Back","Mother's Day Exclusive: 20% Off the UA Mesh Tote","underarmour.com",2017-04-29 00:40:44
"orbitz","9.0%","+ Up to 9.0% Cash Back","Extra 15% off select hotel deals.","orbitz.com",2017-04-29 00:40:44
"disneystore","3.0%","+ 3.0% Cash Back","40% off select items.","disneystore.com",2017-04-29 00:40:44
"ediblearrangements","1.0%","+ 1.0% Cash Back","20% off select items.","ediblearrangements.com",2017-04-29 00:40:44
"famousfootwear","2.0%","+ 2.0% Cash Back","15% off Orders","famousfootwear.com",2017-04-29 00:40:44
"barnesandnoble","3.0%","+ Up to 3.0% Cash Back","NEW Spring Totes Only $12.95 With Any order!","barnesandnoble.com",2017-04-29 00:40:44
"sears","6.0%","+ 6.0% Cash Back","Up to 40% off Patio Furniture , Plus Free Delivery on Patio Orders $499+.","sears.com",2017-04-29 00:40:44
"perriconemd","10.0%","+ 10.0% Cash Back","Up to 40% off any order.","perriconemd.com",2017-04-29 00:40:44
"saksfifthavenue","4.0%","+ 4.0% Cash Back","Click Quick! New SALE Arrivals. select Women's & Men's Apparel. Shop Now!.","saksfifthavenue.com",2017-04-29 00:40:44
"chicos","1.5%","+ 1.5% Cash Back","40% off Entire Purchase.","chicos.com",2017-04-29 00:40:44
"lordandtaylor","8.0%","+ 8.0% Cash Back","Charity Day: up to 30% off.","lordandtaylor.com",2017-04-29 00:40:44
"gap","2.0%","+ 2.0% Cash Back","40% off any order.","gap.com",2017-04-29 00:40:44
"bathandbodyworks","1.0%","+ 1.0% Cash Back","25% off sitewide.","bathandbodyworks.com",2017-04-29 00:40:44
"beallsflorida","7.0%","+ 7.0% Cash Back","20% off $50 + free shipping at $75.","beallsflorida.com",2017-04-29 00:40:44
"tommyhilfiger","2.5%","+ 2.5% Cash Back","40% off Sale!","tommyhilfiger.com",2017-04-29 00:40:44
"bedbathandbeyond","2.0%","+ 2.0% Cash Back","iRobot Savings Event Save up to $100.","bedbathandbeyond.com",2017-04-29 00:40:44
"medifastdiet","10.0%","+ 10.0% Cash Back","Spring Sale - 28% off Medifast Go + 28 free shakes.","medifastdiet.com",2017-04-29 00:40:44
"brooksbrothers","4.0%","+ 4.0% Cash Back","Cardholders 25% Off, Everyone Else 15% Off.","brooksbrothers.com",2017-04-29 00:40:44
"shindigz","6.0%","+ 6.0% Cash Back","Save an Extra 30% off Already Reduced Clearance items.","shindigz.com",2017-04-29 00:40:44
"dickssportinggoods","1.5%","+ 1.5% Cash Back","Great Deals On Outdoor Gear. Online Only.","dickssportinggoods.com",2017-04-29 00:40:44
"brookstone","5.0%","+ 5.0% Cash Back","$10 off $50, $25 off $100, $50 off $175.","brookstone.com",2017-04-29 00:40:44
"bobbibrowncosmetics","4.0%","+ 4.0% Cash Back","Free Smoke and Shade Eye Palette with $100 order + free shipping.","bobbibrowncosmetics.com",2017-04-29 00:40:44
"belk","2.0%","+ 2.0% Cash Back","Better Home Sale at Belk! 20% off reg/Sale Home order!.","belk.com",2017-04-29 00:40:44
"tervis","4.0%","+ 4.0% Cash Back","Mother's Day - Buy 3, Get 1 Free (Excluding Stainless Steel) at tervis.com!","tervis.com",2017-04-29 00:40:44
"jcrewfactory","1.5%","+ 1.5% Cash Back","40% off new arrivals – 564 new styles!","jcrewfactory.com",2017-04-29 00:40:44
"toms","4.0%","+ 4.0% Cash Back","Mother's Day: free shipping.","toms.com",2017-04-29 00:40:44
"expedia","10.0%","+ Up to 10.0% Cash Back","Alaska & Europe Cruise Sale - Up to $1,000 onboard credit!","expedia.com",2017-04-29 00:40:44
"lancome","8.0%","+ 8.0% Cash Back","10% off sitewide + Free full-size Cils Booster with purchase of 2 mascaras.","lancome.com",2017-04-29 00:40:44
"intermix","4.0%","+ 4.0% Cash Back","48-hour extension! 40% off new markdowns. Online only at INTERMIX! Restrictions apply.","intermix.com",2017-04-29 00:40:44
"babiesrus","1.0%","+ 1.0% Cash Back","50% off Carter's clothing, sleepwear, accessories and shoes.","babiesrus.com",2017-04-29 00:40:44
"toysrus","1.0%","+ 1.0% Cash Back","Buy 1 get 1 40% off Melissa and Doug toys, puzzles, role play and arts and crafts.","toysrus.com",2017-04-29 00:40:44
"perriconemd","10.0%","10.0% Cash Back","Get a great deal from See all Perricone MD plus  10.0% Cash Back  from Ebates!","perriconemd.com",2017-04-29 00:40:58
"johnhardy","9.0%","9.0% Cash Back","Get a great deal from See all John Hardy plus  9.0% Cash Back  from Ebates!","johnhardy.com",2017-04-29 00:40:58
"lancome","8.0%","8.0% Cash Back","Get a great deal from See all Lancome plus  8.0% Cash Back  from Ebates!","lancome.com",2017-04-29 00:40:58
"sachinandbabi","8.0%","8.0% Cash Back","Get a great deal from See all Sachin & Babi plus  8.0% Cash Back  from Ebates!","sachinandbabi.com",2017-04-29 00:40:58
"petit-bateau","7.0%","7.0% Cash Back","Get a great deal from See all Petit Bateau plus  7.0% Cash Back  from Ebates!","petit-bateau.com",2017-04-29 00:40:58
"agjeans","6.0%","6.0% Cash Back","Get a great deal from See all AG Jeans plus  6.0% Cash Back  from Ebates!","agjeans.com",2017-04-29 00:40:58
"aliceolivia","6.0%","6.0% Cash Back","Get a great deal from See all Alice + Olivia plus  6.0% Cash Back  from Ebates!","aliceolivia.com",2017-04-29 00:40:58
"cledepeaubeaute","6.0%","6.0% Cash Back","Get a great deal from See all Cle de Peau Beaute plus  6.0% Cash Back  from Ebates!","cledepeaubeaute.com",2017-04-29 00:40:58
"coach","6.0%","6.0% Cash Back","Get a great deal from See all Coach plus  6.0% Cash Back  from Ebates!","coach.com",2017-04-29 00:40:58
"forzieri","6.0%","6.0% Cash Back","Get a great deal from See all Forzieri plus  6.0% Cash Back  from Ebates!","forzieri.com",2017-04-29 00:40:59
"neimanmarcuslastcall","6.0%","6.0% Cash Back","Get a great deal from Neiman Marcus Last Call plus  6.0% Cash Back  from Ebates!","neimanmarcuslastcall.com",2017-04-29 00:40:59
"nicolemiller","6.0%","6.0% Cash Back","Get a great deal from See all Nicole Miller plus  6.0% Cash Back  from Ebates!","nicolemiller.com",2017-04-29 00:40:59
"algenist","5.0%","5.0% Cash Back","Get a great deal from See all Algenist plus  5.0% Cash Back  from Ebates!","algenist.com",2017-04-29 00:40:59
"clarins","5.0%","5.0% Cash Back","Get a great deal from See all Clarins plus  5.0% Cash Back  from Ebates!","clarins.com",2017-04-29 00:40:59
"lecreuset","5.0%","5.0% Cash Back","Get a great deal from See all Le Creuset plus  5.0% Cash Back  from Ebates!","lecreuset.com",2017-04-29 00:40:59
"millyny","5.0%","5.0% Cash Back","Get a great deal from See all MILLY plus  5.0% Cash Back  from Ebates!","millyny.com",2017-04-29 00:40:59
"net-a-porter","5.0%","5.0% Cash Back","Get a great deal from See all NET-A-PORTER plus  5.0% Cash Back  from Ebates!","net-a-porter.com",2017-04-29 00:40:59
"pevonia","5.0%","5.0% Cash Back","Get a great deal from See all Pevonia plus  5.0% Cash Back  from Ebates!","pevonia.com",2017-04-29 00:40:59
"rag-bone","5.0%","5.0% Cash Back","Get a great deal from See all rag & bone plus  5.0% Cash Back  from Ebates!","rag-bone.com",2017-04-29 00:40:59
"stuartweitzman","5.0%","5.0% Cash Back","Get a great deal from See all Stuart Weitzman plus  5.0% Cash Back  from Ebates!","stuartweitzman.com",2017-04-29 00:40:59
