brand,cashback,offer,details,url,source,date_time
"Yoplait","50¢","SAVE 50¢ ON FIVE","when you buy FIVE CUPS any variety Yoplait® Yogurt (Includes Original, Light, Light Thick & Creamy, Thick & Creamy, Whips!®, ...","","https://www.coupons.com/coupons/",2017-05-05 14:52:49
"Simply Beverages®","$0.75","SAVE $0.75","on one (1) 59 or 89 fl. oz. carafe of Simply Lemonade® or Simply Juice Drinks®, any variety","","https://www.coupons.com/coupons/",2017-05-05 14:52:49
"Big G Cereals","$1.00","SAVE $1.00 ON TWO","when you buy TWO BOXES any flavor General Mills Big G or Nature Valley™ cereal: Cheerios™ • Cinnamon Toast Crunch™ • Chex™ ...","","https://www.coupons.com/coupons/",2017-05-05 14:52:49
"Nature Valley","50¢","SAVE 50¢ ON TWO","when you buy TWO BOXES any flavor/variety 5 COUNT OR LARGER Nature Valley™ Granola Bars OR Nature Valley™ Backpacker™ Chewy ...","","https://www.coupons.com/coupons/",2017-05-05 14:52:49
"Scrubbing Bubbles®","$1.00","SAVE $1.00","on any ONE (1) Scrubbing Bubbles® bathroom cleaning product","","https://www.coupons.com/coupons/",2017-05-05 14:52:49
"HUGGIES®","$3.00","GET $3.00 OFF","any ONE (1) package of HUGGIES® Diapers (Not valid on 9 ct. or less)","","https://www.coupons.com/coupons/",2017-05-05 14:52:50
"General Mills Fruit Snacks","50¢","SAVE 50¢ ON TWO","when you buy TWO BOXES any flavor/variety Betty Crocker™ Fruit Shapes, Fruit by the Foot™, Fruit Gushers™ OR ...","","https://www.coupons.com/coupons/",2017-05-05 14:52:50
"Ziploc®","$1.00","SAVE $1.00","on any TWO (2) Ziploc® brand bags","","https://www.coupons.com/coupons/",2017-05-05 14:52:50
"VELVEETA","50¢","SAVE 50¢","on any ONE (1) VELVEETA Loaf or Mini Blocks","","https://www.coupons.com/coupons/",2017-05-05 14:52:50
"HORMEL® Brand","$1.00","SAVE $1.00","on the purchase of any two (2) HORMEL® Pepperoni products","","https://www.coupons.com/coupons/",2017-05-05 14:52:50
"HUGGIES®","$0.50","GET $0.50 OFF","any ONE (1) package of HUGGIES® Wipes (56-167 ct.)","","https://www.coupons.com/coupons/",2017-05-05 14:52:51
"SPAM® Products","$1.00","SAVE $1.00","on the purchase of any two (2) SPAM® 12 oz. products","","https://www.coupons.com/coupons/",2017-05-05 14:52:51
"HUGGIES®","$2.00","GET $2.00 OFF","any ONE (1) package of HUGGIES® Diapers (Not valid on 9 ct. or less)","","https://www.coupons.com/coupons/",2017-05-05 14:52:51
"Hefty® Slider Bags","$1.00","SAVE $1.00","off TWO (2) packages of Hefty® Slider Bags (10 Ct. or Larger)","","https://www.coupons.com/coupons/",2017-05-05 14:52:51
"OSCAR MAYER","$1.00","SAVE $1.00","on any ONE (1) OSCAR MAYER Natural Sausage Link product","","https://www.coupons.com/coupons/",2017-05-05 14:52:51
"GAIN®","25¢","25¢ OFF","ONE Gain® Dishwashing Liquid (excludes 9 oz or smaller and trial/travel size)","","https://www.coupons.com/coupons/",2017-05-05 14:52:51
"Ziploc®","$1.00","SAVE $1.00","on any TWO (2) Ziploc® brand Slider Bags","","https://www.coupons.com/coupons/",2017-05-05 14:52:51
"Suave","$1.00","$1.00 OFF","any ONE (1) Suave® Professionals Gold product (includes Suave Professionals® Styling products)","","https://www.coupons.com/coupons/",2017-05-05 14:52:51
"Irish Spring®","$1.00","SAVE $1.00","On any Irish Spring® Body Wash (excludes Trial or Travel Size)","","https://www.coupons.com/coupons/",2017-05-05 14:52:51
"CREST®","50¢","50¢ OFF","ONE Crest® Complete Toothpaste 4oz or larger (excludes Cavity Protection, Tartar Protection, Baking Soda and trial/travel size)","","https://www.coupons.com/coupons/",2017-05-05 14:52:52
"Scrubbing Bubbles®","$2.00","SAVE $2.00","on any TWO (2) Scrubbing Bubbles® Toilet Cleaning Gel (excludes club pack)","","https://www.coupons.com/coupons/",2017-05-05 14:52:52
"Suave","$1.00","$1.00 OFF","any ONE (1) Suave® Professionals Silver or Green 28oz (includes Suave Professionals® Styling products)","","https://www.coupons.com/coupons/",2017-05-05 14:52:52
"Murphy Oil Soap®","$0.75","SAVE $0.75","On any Murphy® Oil Soap Wood Cleaner (22 oz or larger)","","https://www.coupons.com/coupons/",2017-05-05 14:52:52
"KOTEX®","$1.00","SAVE $1.00","on any ONE (1) package of U by KOTEX® Products (not valid on Liners 14-22 ct. or trial size/travel packs)","","https://www.coupons.com/coupons/",2017-05-05 14:52:52
"HORMEL® NATURAL CHOICE® Brand","$0.50","SAVE $0.50","on the purchase of any one (1) HORMEL® NATURAL CHOICE® Deli Meat product","","https://www.coupons.com/coupons/",2017-05-05 14:52:52
"BOUNTY®","25¢","25¢ OFF","ONE Bounty® Paper Towels (excludes Basic and trial/travel size)","","https://www.coupons.com/coupons/",2017-05-05 14:52:52
"Schick® Disposable Razor Pack","$3.00","SAVE $3.00","on any ONE (1) Schick® Disposable Razor Pack (excludes 1 ct. and Schick® Slim Twin® 6 ct.)","","https://www.coupons.com/coupons/",2017-05-05 14:52:53
"Barilla® Pronto™","$0.75","SAVE $0.75","on any TWO (2) Barilla® Pronto™ Products","","https://www.coupons.com/coupons/",2017-05-05 14:52:53
"PURELL™","$0.50","$0.50 OFF","off ONE (1) 8 oz bottle of PURELL™ Sanitizer","","https://www.coupons.com/coupons/",2017-05-05 14:52:53
"Pert®","$1.00","SAVE $1.00","on any ONE (1) Pert Shampoo plus Conditioner","","https://www.coupons.com/coupons/",2017-05-05 14:52:53
"Schick® Disposable Razor Packs","$5.00","SAVE $5.00","on any TWO (2) Schick® Disposable Razor Packs (excludes 1 ct. and Schick® Slim Twin® 6 ct.)","","https://www.coupons.com/coupons/",2017-05-05 14:52:53
"Persil®","$2.00","SAVE $2.00","on ONE Persil® ProClean® laundry detergent (75oz or larger)","","https://www.coupons.com/coupons/",2017-05-05 14:52:53
"BOUNCE®","50¢","50¢ OFF","ONE Bounce® Product (excludes Bounce® sheets 25, 34 and 40 ct and trial/travel size)","","https://www.coupons.com/coupons/",2017-05-05 14:52:53
"Caribou Coffee® K-Cup® Pods","$2.00","BUY 2 SAVE $2.00","On any (2) Caribou Coffee® K-Cup® Pods (12 count, 18 count, 36 count)","","https://www.coupons.com/coupons/",2017-05-05 14:52:53
"TURTLES®","$1.00","SAVE $1.00","off any TWO (2) TURTLES® bars (2.3oz or smaller)","","https://www.coupons.com/coupons/",2017-05-05 14:52:54
"CHARMIN®","25¢","25¢ OFF","ONE Charmin® Ultra Soft OR Strong 4 ct or larger (excludes Essentials Soft or Strong and trial/travel size)","","https://www.coupons.com/coupons/",2017-05-05 14:52:54
"ARM & HAMMER™","$1.00","SAVE $1.00","on ONE (1) ARM & HAMMER™ Liquid Laundry Detergent","","https://www.coupons.com/coupons/",2017-05-05 14:52:54
"PUFFS®","25¢","25¢ OFF","ONE Puffs® Product (excludes Puffs® To-Go and trial/travel size)","","https://www.coupons.com/coupons/",2017-05-05 14:52:54
"L'Oreal Paris","$2.00","SAVE $2.00","on ANY ONE (1) L'Oreal Paris Skin Care product (excludes trial size)","","https://www.coupons.com/coupons/",2017-05-05 14:52:54
"Shout®","50¢","SAVE 50¢","on any ONE (1) Shout® product (excludes travel and trial sizes)","","https://www.coupons.com/coupons/",2017-05-05 14:52:54
"Hellmann's or Best Foods","$0.75","$0.75 OFF","Any ONE (1) Hellmann’s or Best Foods Vegan Sandwich Spread or Organic Mayonnaise (Available in Original and 3 flavors)","","https://www.coupons.com/coupons/",2017-05-05 14:52:54
"Pledge®","50¢","SAVE 50¢","on any ONE (1) Pledge® product","","https://www.coupons.com/coupons/",2017-05-05 14:52:54
"HUGGIES®","$1.50","GET $1.50 OFF","any TWO (2) packages of HUGGIES® Wipes (168 ct. or higher)","","https://www.coupons.com/coupons/",2017-05-05 14:52:55
"Yoplait","75¢","SAVE 75¢ ON TWO","when you buy TWO any flavor Yoplait® Go-GURT® Yogurt","","https://www.coupons.com/coupons/",2017-05-05 14:52:55
"Tidy Cats®","$2.00","SAVE $2.00","on one (1) package of Purina® Tidy Cats® LightWeight brand cat litter, any size, any variety","","https://www.coupons.com/coupons/",2017-05-05 14:52:55
"Scrubbing Bubbles®","50¢","SAVE 50¢","on any ONE (1) Scrubbing Bubbles® Bathroom cleaning product","","https://www.coupons.com/coupons/",2017-05-05 14:52:55
"Cetaphil®","$2.00","$2.00 OFF","any 1 (one) Cetaphil® product (excludes trial/travel sizes and single bars)","","https://www.coupons.com/coupons/",2017-05-05 14:52:55
"L'Oreal Paris","$1.00","SAVE $1.00","on ANY ONE (1) L'Oreal Paris Hair Expert shampoo, conditioner or treatment product (excludes 3 oz. trial size)","","https://www.coupons.com/coupons/",2017-05-05 14:52:55
"Raid®","55¢","SAVE 55¢","on any ONE (1) Raid® product","","https://www.coupons.com/coupons/",2017-05-05 14:52:55
"Glade®","$1.00","SAVE $1.00","on any TWO (2) Glade® products (excludes Glade® Solid Air Freshener and 8 oz. Room Spray)","","https://www.coupons.com/coupons/",2017-05-05 14:52:56
"Yoplait","$1.00","SAVE $1.00 ON ONE","when you buy any flavor Yoplait® Yogurt 8-Pack Fridge Pack","","https://www.coupons.com/coupons/",2017-05-05 14:52:56
"Windex®","50¢","SAVE 50¢","on any ONE (1) Windex® product (excludes travel and trial sizes)","","https://www.coupons.com/coupons/",2017-05-05 14:52:56
"CREST®","50¢","50¢ OFF","ONE Crest® Pro-Health™ Toothpaste 3.5oz+ (excludes Cavity Protection, Tartar Protection, Baking Soda and trial/ travel size)","","https://www.coupons.com/coupons/",2017-05-05 14:52:56
"Cetaphil®","$3.00","$3.00 OFF","any 1 (one) New Cetaphil® Facial Care product (excludes makeup remover wipes)","","https://www.coupons.com/coupons/",2017-05-05 14:52:56
"Windex®","75¢","SAVE 75¢","on any ONE (1) Windex® Multi-Surface Product (excludes travel and trial sizes)","","https://www.coupons.com/coupons/",2017-05-05 14:52:56
"SPLENDA®","$1.00","SAVE $1.00","on ONE (1) SPLENDA® Sweetener Product, any variety or size.","","https://www.coupons.com/coupons/",2017-05-05 14:52:56
"BOUNTY®","25¢","25¢ OFF","ONE Bounty® Basic Paper Towels (excludes trial/travel size)","","https://www.coupons.com/coupons/",2017-05-05 14:52:57
"BENADRYL®","$1.00","SAVE $1.00","on any ONE (1) Adult BENADRYL® product","","https://www.coupons.com/coupons/",2017-05-05 14:52:57
"DINTY MOORE® Brand","$1.00","SAVE $1.00","on the purchase of any two (2) DINTY MOORE® products (excludes Trays)","","https://www.coupons.com/coupons/",2017-05-05 14:52:57
"Annie Chun's","$1.00","$1.00 OFF","TWO (2) Annie Chun's Products","","https://www.coupons.com/coupons/",2017-05-05 14:52:57
"Cat Chow®","$1.05","SAVE $1.05","on one (1) 3.15lb or larger bag of Purina® Cat Chow® brand dry cat food, any variety","","https://www.coupons.com/coupons/",2017-05-05 14:52:57
