brand,cashback,offer,details,url,source,date_time
"American Eagle Outfitters","$40","Up to $40 Off Your Order","","","https://www.retailmenot.com/",2017-05-05 14:53:46
"Kohl's","20%","20% Off Sitewide + 20% Off All Jewelry","","","https://www.retailmenot.com/",2017-05-05 14:53:46
"Puritans Pride","85%","Up to 85% Off + Extra 20% Off","","","https://www.retailmenot.com/",2017-05-05 14:53:46
"DressLily","$14","Up to $14 Off Sitewide + Free Shipping","","","https://www.retailmenot.com/",2017-05-05 14:53:46
"DXL DESTINATIONXL","$30","$30 Stackable Cash Back","","","https://www.retailmenot.com/",2017-05-05 14:53:46
"Vitamin World","$30","$30 Off $100+","","","https://www.retailmenot.com/",2017-05-05 14:53:46
"See's Candies","$9.95","$9.95 Expedited Shipping on Orders of $35+","Get $9.95 Expedited Shipping On Orders Of $35 Or More within contiguous U.S.","sees.com","https://www.retailmenot.com/",2017-05-05 14:53:46
"Margaritaville Cargo","$150","$150 Off Margaritaville Bali Frozen Concoction","$150 Off Margaritaville Bali Frozen Concoction Maker with Self Dispenser","margaritavillecargo.com","https://www.retailmenot.com/",2017-05-05 14:53:46
"Papa John's","50%","50% Off Regular Menu Price Order","Get 50% off Regular Menu Price order","papajohns.com","https://www.retailmenot.com/",2017-05-05 14:53:46
"Bed Bath and Beyond","20%","20% Off One
Item In-Store","Get 20% Off One Item In-Store. Some Exclusions Apply. Expires on 05/31/2017.","bedbathandbeyond.com","https://www.retailmenot.com/",2017-05-05 14:53:46
"Bath & Body Works","$10","Free Item With Any Purchase of $10+","Get Free Item (Up to $14 retail value) with Any Purchase of $10 or More. Limit one offer per customer.","bathandbodyworks.com","https://www.retailmenot.com/",2017-05-05 14:53:46
"Starbucks","","Starts Tomorrow! 1/2 Price Frappuccino Beverages 3-6pm","From May 5 to 14, all Frappuccino blended beverages are half off from 3–6 p.m. at participating stores.","store.starbucks.com","https://www.retailmenot.com/",2017-05-05 14:53:46
"Michaels","50%","50% Off Any One Regular Priced Item","Get 50% Off Any One Regular Priced Item","michaels.com","https://www.retailmenot.com/",2017-05-05 14:53:46
"Hobby Lobby","40%","40% Off One Item at Regular Price","Super Savings, Super Selection! Get 40% Off One item at Regular Price. Limit One Coupon per customer per day.","hobbylobby.com","https://www.retailmenot.com/",2017-05-05 14:53:46
"Pizza Hut","50%","50% Off All Menu-Priced Pizzas Ordered Online","Get 50% off all menu-priced pizzas ordered online","pizzahut.com","https://www.retailmenot.com/",2017-05-05 14:53:46
"Jo-Ann Fabric","50%","50% Off Any One Regular-priced Item","Get 50% Off any one regular-priced item. One promo code per order.","joann.com","https://www.retailmenot.com/",2017-05-05 14:53:46
"Payless ShoeSource","30%","30% Off Single Item","Get 30% off single item. Limit One Coupon Per Customer. Valid in U.S. locations only.","payless.com","https://www.retailmenot.com/",2017-05-05 14:53:46
"JCPenney","30%","Extra 30% Off Entire Order!","Its Cinco de Mayo! online only: Get an Extra 30% off your entire order!","jcpenney.com","https://www.retailmenot.com/",2017-05-05 14:53:46
"Shutterfly","$10","$10 Off Orders of $10+","Shutterfly Code","shutterfly.com","https://www.retailmenot.com/",2017-05-05 14:53:46
"Famous Footwear","15%","Extra 15% Off","Famous Footwear In Store Coupon","famousfootwear.com","https://www.retailmenot.com/",2017-05-05 14:53:46
"Catherines","$20","$20 Off $100+","Catherines In Store Coupon","catherines.lanebryant.com","https://www.retailmenot.com/",2017-05-05 14:53:46
