brand,offer,details,url,date_time
"Perfumania","30% Off Sitewide","","",2017-04-26 20:22:19
"Foot Locker","15% Off $75+ Online Only","","",2017-04-26 20:22:19
"Travelocity","12% Off Selected Hotels","","",2017-04-26 20:22:19
"Big Lots","Up to $100 Off In-Store And Online","","",2017-04-26 20:22:19
"Toys R Us","15% Off Storewide","","",2017-04-26 20:22:19
"Lenovo","15% Off Configurable ThinkPad Laptops + Free Shipping","","",2017-04-26 20:22:19
"Vince Camuto","20% Off Sitewide","Terms and Conditions Take 20% off your purchase at Vince Camuto. Enter code at checkout. Offer valid 4/20/2017 – 04/30/2017 online only. Not for use on previous purchases or in combination with other offers. No price adjustments. Some exclusions may apply","vincecamuto.com",2017-04-26 20:22:19
"Expedia","$20 Off Things To Do","Save $20 on Things to Do when you spend $100 or more. Travel by 07/31/2017. Book by 05/15/2017.","expedia.com",2017-04-26 20:22:19
"Golf Galaxy","Up to $30 Off Your Order","Get $15 off $75+ or $30 off $150+!","golfgalaxy.com",2017-04-26 20:22:19
"Ralph Lauren","Up to 40% Off + Extra 15% Off","Private Sale Up to 40% Off! Plus, Take an Extra 15% Off with Code at check out!","ralphlauren.com",2017-04-26 20:22:19
"Papa John's","50% Off Any Pizza at Regular Menu Price","Take 50% off any pizza at regular menu price","papajohns.com",2017-04-26 20:22:19
"Bed Bath and Beyond","20% Off One
Item In-Store","Get 20% Off One Item In-Store. Some Exclusions Apply. Expires on 04/30/2017.","bedbathandbeyond.com",2017-04-26 20:22:19
"Southwest","3-Day Sale! Fares From $39 One Way","3-Day Sale! Fares from $39 One Way . Book by 5/4. Nonrefundable. 21-day advance purchase required. Seats, travel days, and markets limited. Blackout dates apply. Domestic travel valid 5/16 – 6/14 and 8/22 – 11/1. Travel dates may vary for cities outside the contiguous U.S. Points bookings do not include government fees from $5.60 per one-way flight.","southwest.com",2017-04-26 20:22:19
"Bath & Body Works","20% Off Your Purchase","Get 20% Off Your Purchase. Limit 1 coupon per customer.","bathandbodyworks.com",2017-04-26 20:22:19
"Auntie Anne's","Free Pretzel W/ Auntie Anne's App","National Pretzel Day! Free original or cinnamon sugar pretzel w/ Auntie Anne's app.","auntieannes.com",2017-04-26 20:22:19
"Hobby Lobby","40% Off Regular Price One Item","Get 40% off regular price One item.","hobbylobby.com",2017-04-26 20:22:19
"Walgreens","40% Off Prints","Get 40% Off Prints.","walgreens.com",2017-04-26 20:22:19
"Walmart","Up to 70% Off Select Warehouse Clear-Out","Save up to 70% on Select Items During the Warehouse Clear-Out. Shop Amazing Items at Super Low Prices.","walmart.com",2017-04-26 20:22:19
"Gap","$10 Cash Back for $75+","Gap Cash Back Offer","gap.com",2017-04-26 20:22:19
"PUMA","75% Off Private Sale","PUMA Sale","us.puma.com",2017-04-26 20:22:19
"Domino's","2 For $5.99 Each","Domino's Code","dominos.com",2017-04-26 20:22:19
