brand,cashback,offer,details,url,date_time
"Overstock","11%","11% Off for All Customers","","",2017-04-29 00:44:04
"Talbots","30%","30% Off Sitewide","","",2017-04-29 00:44:04
"RoseGal","15%","15% Off Your Order + Free Shipping","","",2017-04-29 00:44:04
"Papa John's","50%","50% Off Any Pizza at Regular Menu Price","","",2017-04-29 00:44:04
"Bath & Body Works","25%","25% Off Storewide","","",2017-04-29 00:44:04
"Bed Bath and Beyond","20%","20% Off One Item In-Store","","",2017-04-29 00:44:04
"Road Runner Sports","25%","25% Off Nike With VIP Sign Up","RetailMeNot Exclusive! Save 25% on Nike with VIP Sign Up. Add RVIP Family in cart to save! Use offer code RMNNIKE17 at checkout. Offer ends 4/30.","roadrunnersports.com",2017-04-29 00:44:04
"QVC","$35","$35 Cash Back for Online Purchases of $200+","RetailMeNot Exclusive! Get $35 Rebate For Online Purchases Of $200! Purchases must meet the minimum amount before taxes, shipping, and handling and after any other discounts are applied.","qvc.com",2017-04-29 00:44:04
"DXL DESTINATIONXL","$30","$30 Off $100+","Get $30 off your purchase of $100 or more. Some exclusions apply. Expires on 04/30/2017.","destinationxl.com",2017-04-29 00:44:04
"Walmart","","Big Savings In The Walmart Weekly Ad!","Click To View Big Savings In The Walmart Weekly Ad!","walmart.com",2017-04-29 00:44:04
"Kohl's","","Kohl's Coupons And Promo Codes","Save big when you shop from a wide range of coupons and promo codes.","kohls.com",2017-04-29 00:44:04
"JCPenney","30%","Extra 30% Off No Minimum!","VIP Event! Get 30% Off No Minimum! Save on select apparel, shoes, and accessories, and fine jewelry and home. Or get an extra 15% off select watches, salon products, furniture, mattresses, custom blinds, and shades.","jcpenney.com",2017-04-29 00:44:04
"Michaels","40%","40% Off Any One Regular Price Item","Get 40% Off Any One Regular Price Item. Limit one coupon per product. Limit one coupon of each type per day. Valid in US only.","michaels.com",2017-04-29 00:44:04
"Southwest","$39","3-Day Sale! Fares From $39 One Way","3-Day Sale! Fares from $39 One Way . Book by 5/4. Nonrefundable. 21-day advance purchase required. Seats, travel days, and markets limited. Blackout dates apply. Domestic travel valid 5/16 – 6/14 and 8/22 – 11/1. Travel dates may vary for cities outside the contiguous U.S. Points bookings do not include government fees from $5.60 per one-way flight.","southwest.com",2017-04-29 00:44:04
"Hobby Lobby","40%","40% Off Regular Price One Item","Get 40% off regular price One item.","hobbylobby.com",2017-04-29 00:44:04
"Jo-Ann Fabric","60%","60% Off Any One Regular-priced Item","Get 60% Off Any One Regular-priced Item. Limit one coupon per regular-priced item","joann.com",2017-04-29 00:44:04
"Walgreens","40%","40% Off Prints","Get 40% Off Prints.","walgreens.com",2017-04-29 00:44:04
"Old Navy","20%","20% Off Almost Everything","Get 20% Off Almost Everything","oldnavy.com",2017-04-29 00:44:04
"Macy's","30%","30% off Friends & Family","Macy's Code","macys.com",2017-04-29 00:44:04
"Ulta","w/$30","Free Beauty Bag w/$30+","Ulta Sale","ulta.com",2017-04-29 00:44:04
"Golf Galaxy","$30","Up to $30 Off","Golf Galaxy In Store Coupon","golfgalaxy.com",2017-04-29 00:44:04
